Year,"SUM of Lung and Bronchus (female) (deaths per 100,000 individuals)"
1930,2.6
1931,2.6
1932,2.8
1933,3
1934,3.1
1935,3.5
1936,3.9
1937,3.8
1938,4.1
1939,4.1
1940,4.1
1941,4.6
1942,4.7
1943,4.9
1944,5.1
1945,5.3
1946,5.5
1947,6.1
1948,6.4
1949,5.6
1950,5.8
1951,5.9
1952,6.1
1953,6
1954,6
1955,6.2
1956,6.3
1957,6.4
1958,6.7
1959,6.7
1960,6.9
1961,7.4
1962,7.6
1963,8.1
1964,8.3
1965,8.9
1966,9.6
1967,10.1
1968,11.8
1969,12.5
1970,13.3
1971,14.4
1972,15.2
1973,15.8
1974,16.9
1975,17.8
1976,19.2
1977,20.3
1978,21.7
1979,22.5
1980,24.3
1981,25.1
1982,26.7
1983,28.3
1984,29.1
1985,30.6
1986,31.6
1987,32.9
1988,34.3
1989,35.9
1990,37
1991,37.8
1992,38.9
1993,39.4
1994,39.8
1995,40.4
1996,40.6
1997,40.9
1998,41.1
1999,40.3
2000,41.2
2001,41.1
2002,41.7
2003,41.4
2004,41
2005,40.8
2006,40.3
2007,40.2
2008,39.2
2009,38.7
2010,38
2011,37.1