Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: All Ages (Number) (people)
United States,USA,1990,13282914.83
United States,USA,1991,13671581.17
United States,USA,1992,14052179.62
United States,USA,1993,14469028.12
United States,USA,1994,14787166.9
United States,USA,1995,15093931.06
United States,USA,1996,15259965.65
United States,USA,1997,15334493.94
United States,USA,1998,15375836.93
United States,USA,1999,15464208.12
United States,USA,2000,15660982.72
United States,USA,2001,15954646.18
United States,USA,2002,16340257.91
United States,USA,2003,16727588.26
United States,USA,2004,17063991.02
United States,USA,2005,17427664.58
United States,USA,2006,17757329.91
United States,USA,2007,18224583.25
United States,USA,2008,18786155.48
United States,USA,2009,19352740.53
United States,USA,2010,19813730.48
United States,USA,2011,20238111.34
United States,USA,2012,20641933.89
United States,USA,2013,21056556.25
United States,USA,2014,21465816.9
United States,USA,2015,21918069.34
United States,USA,2016,22420961.44
United States,USA,2017,22862718.15
Russia,RUS,1990,1952677.382
Russia,RUS,1991,2002825.661
Russia,RUS,1992,2088389.746
Russia,RUS,1993,2208847.658
Russia,RUS,1994,2246153.047
Russia,RUS,1995,2199696.947
Russia,RUS,1996,2152073.954
Russia,RUS,1997,2107280.286
Russia,RUS,1998,2103959.523
Russia,RUS,1999,2169522.473
Russia,RUS,2000,2205117.764
Russia,RUS,2001,2242456.039
Russia,RUS,2002,2314621.065
Russia,RUS,2003,2405035.565
Russia,RUS,2004,2478071.314
Russia,RUS,2005,2612751.405
Russia,RUS,2006,2617070.349
Russia,RUS,2007,2665846.819
Russia,RUS,2008,2788720.215
Russia,RUS,2009,2866867.206
Russia,RUS,2010,2975735.16
Russia,RUS,2011,2952920.246
Russia,RUS,2012,3009072.442
Russia,RUS,2013,3067923.728
Russia,RUS,2014,3151959.859
Russia,RUS,2015,3166403.378
Russia,RUS,2016,3153818.044
Russia,RUS,2017,3193052.762